interval_no,interval_name,max_ma,min_ma,x_ft,x_bl,x_fl,x_bt,sampled_in_bin,implied_in_bin,n_occs
922,Late Pleistocene,0.129,0.0117,0,260,327,0,587,11,5197
1203,Chibanian,0.774,0.129,29,14,16,231,181,7,578
740,Calabrian,1.8,0.774,66,3,4,179,168,8,604
741,Gelasian,2.58,1.8,31,2,2,151,72,2,100
96,Piacenzian,3.6,2.58,11,2,7,142,56,8,157
97,Zanclean,5.333,3.6,35,7,17,109,117,8,326
98,Messinian,7.246,5.333,15,7,9,101,53,13,193
99,Tortonian,11.63,7.246,29,10,25,79,105,8,339
100,Serravallian,13.82,11.63,20,7,8,69,56,7,142
101,Langhian,15.98,13.82,14,4,6,62,39,11,130
102,Burdigalian,20.45,15.98,34,11,43,32,102,17,338
103,Aquitanian,23.04,20.45,10,4,15,33,34,2,59
104,Chattian,27.3,23.04,10,12,28,27,54,9,131
105,Rupelian,33.9,27.3,18,5,46,21,75,9,161
106,Priabonian,37.71,33.9,10,10,45,16,69,3,166
107,Bartonian,41.03,37.71,7,6,8,19,22,8,64
108,Lutetian,48.07,41.03,15,11,32,10,60,8,117
109,Ypresian,56.0,48.07,14,5,86,7,106,14,310
110,Thanetian,59.24,56.0,5,1,16,7,24,4,68
743,Selandian,61.66,59.24,3,0,5,5,8,4,20
111,Danian,66.0,61.66,0,0,5,5,5,1,12
112,Maastrichtian,72.2,66.0,2,109,203,3,315,32,4157
113,Campanian,83.6,72.2,70,32,246,42,377,31,4781
114,Santonian,85.7,83.6,7,3,29,67,46,16,313
115,Coniacian,89.8,85.7,17,1,20,53,48,8,207
116,Turonian,93.9,89.8,6,2,36,48,49,11,342
117,Cenomanian,100.5,93.9,11,24,93,39,147,20,1025
118,Albian,113.2,100.5,21,28,88,42,166,17,1357
119,Aptian,121.4,113.2,18,18,140,52,198,18,967
120,Barremian,125.77,121.4,20,10,103,50,153,19,850
121,Hauterivian,132.6,125.77,5,4,20,55,48,12,282
122,Valanginian,137.05,132.6,7,3,25,52,52,12,276
123,Berriasian,143.1,137.05,17,5,13,38,47,19,452
124,Tithonian,149.2,143.1,11,28,38,32,93,22,1643
125,Kimmeridgian,154.8,149.2,20,4,19,40,67,14,618
126,Oxfordian,161.5,154.8,20,4,24,24,62,7,227
127,Callovian,165.3,161.5,6,0,27,22,41,4,140
128,Bathonian,168.2,165.3,3,1,20,19,34,9,353
129,Bajocian,170.9,168.2,4,1,9,16,20,0,48
130,Aalenian,174.7,170.9,4,1,3,13,11,4,48
131,Toarcian,184.2,174.7,0,2,20,14,27,4,154
132,Pliensbachian,192.9,184.2,1,10,17,15,34,3,230
133,Sinemurian,199.5,192.9,5,21,26,20,66,5,683
134,Hettangian,201.4,199.5,19,1,13,22,48,2,350
135,Rhaetian,205.7,201.4,3,7,6,20,24,2,154
136,Norian,227.3,205.7,16,7,51,11,85,5,645
137,Carnian,237.0,227.3,11,1,21,7,39,1,126
138,Ladinian,241.464,237.0,1,0,1,7,3,0,6
139,Anisian,246.7,241.464,4,1,4,3,11,0,54
652,Olenekian,249.9,246.7,4,0,0,0,4,0,6
